FIPS,county,census_2020_count,july1_2021_pop_est,july1_2022_pop_est,july1_2023_pop_est,july1_2024_pop_est,jan1_2025_pop_est,num_chg_20_24,num_chg_20_25,pct_chg_20_24,pct_chg_20_25
48000,State of Texas,29145505,29570483,30113650,30725080,31290831,31572300,2145326,2426795,7.4,8.3
48001,Anderson,57922,57998,57697,57900,59502,60303,1580,2381,2.7,4.1
48003,Andrews,18610,18673,18772,18791,19479,19823,869,1213,4.7,6.5
48005,Angelina,86395,86579,86566,87634,87539,87492,1144,1097,1.3,1.3
48007,Aransas,23830,24416,24999,25181,25689,25943,1859,2113,7.8,8.9
48009,Archer,8560,8542,8671,9159,9037,8976,477,416,5.6,4.9
48011,Armstrong,1848,1832,1852,1830,1814,1806,-34,-42,-1.8,-2.3
48013,Atascosa,48981,49477,50135,50942,51857,52314,2876,3333,5.9,6.8
48015,Austin,30167,30403,31072,32095,32670,32958,2503,2791,8.3,9.3
48017,Bailey,6904,6820,6802,6777,6964,7057,60,153,0.9,2.2
48019,Bandera,20851,21579,22018,22448,22761,22918,1910,2067,9.2,9.9
48021,Bastrop,97216,101880,106030,111562,115082,116842,17866,19626,18.4,20.2
48023,Baylor,3465,3479,3491,3552,3537,3529,72,64,2.1,1.8
48025,Bee,31047,30791,30766,31260,30503,30125,-544,-922,-1.8,-3.0
48027,Bell,370647,376111,385256,390755,398298,402069,27651,31422,7.5,8.5
48029,Bexar,2009324,2039146,2058431,2102479,2145871,2167567,136547,158243,6.8,7.9
48031,Blanco,11374,11923,12487,13071,13478,13682,2104,2308,18.5,20.3
48033,Borden,631,628,577,584,623,642,-8,11,-1.3,1.7
48035,Bosque,18235,18294,18583,18965,18790,18703,555,468,3.0,2.6
48037,Bowie,92893,91658,91628,91675,92029,92206,-864,-687,-0.9,-0.7
48039,Brazoria,372031,379180,388564,397556,407585,412599,35554,40568,9.6,10.9
48041,Brazos,233849,237026,241546,246765,248827,249858,14978,16009,6.4,6.8
48043,Brewster,9546,9496,9389,9775,9433,9262,-113,-284,-1.2,-3.0
48045,Briscoe,1435,1411,1431,1435,1449,1456,14,21,1.0,1.5
48047,Brooks,7076,6964,6976,6867,6719,6645,-357,-431,-5.0,-6.1
48049,Brown,38095,38219,38098,38889,38527,38346,432,251,1.1,0.7
48051,Burleson,17642,17862,18804,19610,20310,20660,2668,3018,15.1,17.1
48053,Burnet,49130,50646,52368,54680,56242,57023,7112,7893,14.5,16.1
48055,Caldwell,45883,46967,47290,50078,52017,52987,6134,7104,13.4,15.5
48057,Calhoun,20106,19981,19836,19946,20134,20228,28,122,0.1,0.6
48059,Callahan,13708,14166,14483,14065,14519,14746,811,1038,5.9,7.6
48061,Cameron,421017,421556,424515,429017,431805,433199,10788,12182,2.6,2.9
48063,Camp,12464,12524,12313,13012,12925,12881,461,417,3.7,3.3
48065,Carson,5807,5736,5713,6012,5769,5648,-38,-159,-0.7,-2.7
48067,Cass,28454,28647,28698,28876,28608,28474,154,20,0.5,0.1
48069,Castro,7371,7265,7277,7256,7412,7490,41,119,0.6,1.6
48071,Chambers,46571,49321,51316,53514,55845,57010,9274,10439,19.9,22.4
48073,Cherokee,50412,51274,51574,52780,53466,53809,3054,3397,6.1,6.7
48075,Childress,6664,6731,6811,6859,6671,6577,7,-87,0.1,-1.3
48077,Clay,10218,10184,10416,10893,10799,10752,581,534,5.7,5.2
